Station Name	Call_Sign	Easting	 Northing
WITHINGTON	S14	384925.5	392798.7
AGECROFT	W60	379499.4	400988.7
ALTRINCHAM	S12	376575.8	388762.2
ASHTON	E39	392201.96	397886.91
ATHERTON	W56	367346.25	403455.21
BLACKLEY	S17	386074.79	403386.87
BOLTON	W50	371235.6	408843
BOLTON NORTH	W51	372540.4	411290.2
BROUGHTON	W59	382613.2	401599.1
BURY	E36	380102	411278
CHADDERTON	E35	390568.5	405799.7
CHEADLE	S22	387028.4	386587.6
ECCLES	W61	376363.8	398407.6
FARNWORTH	W53	373649.7	405629.2
GORTON	S19	387177.8	396673.9
HEYWOOD	E32	386369.6	409308.5
HINDLEY	W55	362397.1	403898.6
HOLLINS	E34	391877.2	402889.5
HORWICH	W52	363847.4	411138
HYDE	E42	394520.6	394694.8
IRLAM	W62	372189.2	393807.4
LEIGH	W57	364509.2	398461.4
LITTLEBOROUGH	E31	393367	416669
MANCHESTER CENTRAL	S16	384790.9	398956.4
MARPLE	S24	395893.2	388787.7
MOSS SIDE	S13	383745.1	395936.6
MOSSLEY	E41	396957.2	402304.8
OFFERTON	S23	391791.8	388574.8
OLDHAM	E33	393776.4	405057.3
PHILIPS PARK	S18	386743.9	399306.3
RAMSBOTTOM	E38	379196.9	417566.1
ROCHDALE	E30	390585	414156
SALE	S11	378261	392089.6
SALFORD	W58	382106.8	398249.3
STALYBRIDGE	E40	395816.7	398670.5
STOCKPORT	S21	389015.6	389996.2
STRETFORD	S10	379033.7	395427.1
WHITEFIELD	E37	380475.1	406475
WHITEHILL	S20	389076.1	391975.8
WIGAN	W54	356950.4	405140.8
WYTHENSHAWE	S15	383021.4	387253.7
