Allotment,Plots,In use,untenable,Vacant,Notice,Waiting
Grove Lane,31,31,0,0,0,17
Riddings Hall,80,79,1,0,0,16
Trafford Drive,57,50,7,0,0,2
Pickering Lodge,18,0,0,0,0,1
Woodstock,12,12,0,0,0,8
Vicarage Lane,33,33,5,-5,1,20
Eaton Road,9,9,0,0,0,3
Golf Road,97,72,12,13,0,17
Moss Lane,25,15,8,0,0,17
Wellfield Lane,48,48,0,0,0,0
Totnes Road,8,8,0,0,0,12
De-Quincey Road,12,12,0,0,0,9
Warslow Drive,29,0,0,0,0,3
Grosvenor Road,86,86,0,0,0,19
Moor Nook,70,68,2,0,1,20
Tavistock Road,4,4,0,0,0,3
Walton Road,34,34,0,0,0,24
Winstanley Road,93,93,0,0,0,38
Church Street,9,9,0,0,0,3
Gorse Hill,101,99,0.5,1.5,0,28
Old Trafford,99,96,0,3,4,26
Urmston Lane,35,32.5,0,2.5,0,12
Balmoral,31,31,0,3,0,0
Leagate ,11,12,0,0,0,2
Brookfield,42,42,0,0,0,0
Chadwick,42,42,0,3,0,3
Granville Park,42,42,0,1,0,2
The Grove,28,28,0,0,0,14
Laneheads (Private),33,32,0,1,0,0
Mansfield,17,16.5,0,2,0,2
Marlborough,80,76,3,1,0,8
Mossfields,62,59,0,0,0,7
Humphrey Park,70,69,1,0,0,1
Wyndcliffe,4,4,,,,1
St Marys,19,0,0,0,0,6
Moss View,39,39,0,0,0,3
